UHELDS_ID,accident_date,report_category,encoded_accident_situation,accident_situation,police_narrative,year,main_situation_class,n_words,UH_GEOMETRI,ADM_VEJ1_NR,KODE_UHELDKOMMUNE,X_KOORDINAT,Y_KOORDINAT,x,y,vejkode_clean
33,13-08-2025,Mskpuh,670,670,This is narrative 33,2025,6,4,"M96149,-559751,",784319.0,316.0,558514.56,6174995.451,9.6149,55.9751,4319
34,20-08-2025,Exuh,879,879,This is narrative 34,2025,8,4,"M93668,-550779,",903562.0,320.0,487114.288,6226783.559,9.3668,55.0779,3562
35,27-08-2025,Pskduh,420,420,This is narrative 35,2025,4,4,"M93610,-550669,",518274.0,326.0,722466.145,6178270.895,9.361,55.0669,8274
36,03-09-2025,Mskpuh,198,198,This is narrative 36,2025,1,4,"M91256,-554846,",652913.0,329.0,536854.561,6275061.587,9.1256,55.4846,2913
37,10-09-2025,Exuh,999,999,This is narrative 37,2025,9,4,"M84473,-554727,",731480.0,330.0,558514.56,6348208.436,8.4473,55.4727,1480
38,17-09-2025,Mskpuh,640,640,This is narrative 38,2025,6,4,"M84678,-555084,",847625.0,336.0,487114.288,6227161.259,8.4678,55.5084,7625
39,24-09-2025,Exuh,32,32,This is narrative 39,2025,0,4,"M94822,-554964,",294816.0,340.0,722466.145,6176427.058,9.4822,55.4964,4816
40,01-10-2025,Mskpuh,22,22,This is narrative 40,2025,0,4,"M97600,-555776,",975132.0,350.0,536854.561,6174995.451,9.76,55.5776,5132
41,08-10-2025,Mskpuh,50,50,This is narrative 41,2025,0,4,"M93994,-557720,",18275.0,360.0,558514.56,6226783.559,9.3994,55.772,
42,15-10-2025,Anmsuh,720,720,This is narrative 42,2025,7,4,"M97526,-555644,",5432.0,370.0,487114.288,6178270.895,9.7526,55.5644,5432
43,22-10-2025,Anmsuh,860,860,This is narrative 43,2025,8,4,"M118174,-552751,",98765.0,376.0,722466.145,6275061.587,11.8174,55.2751,
44,29-10-2025,Pskduh,440,440,This is narrative 44,2025,4,4,"M119978,-549623,",421.0,390.0,536854.561,6348208.436,11.9978,54.9623,421
45,05-11-2025,Anmsuh,24,24,This is narrative 45,2025,0,4,"M120364,-551155,",7634.0,420.0,558514.56,6227161.259,12.0364,55.1155,7634
46,12-11-2025,Anmsuh,410,410,This is narrative 46,2025,4,4,"M118696,-548147,",15482.0,430.0,487114.288,6176427.058,11.8696,54.8147,
47,19-11-2025,Anmsuh,999,999,This is narrative 47,2025,9,4,"M113445,-554063,",892.0,440.0,722466.145,6174995.451,11.3445,55.4063,892
48,26-11-2025,Pskduh,642,642,This is narrative 48,2025,6,4,"M117800,-548869,",34567.0,461.0,536854.561,6226783.559,11.78,54.8869,
49,03-12-2025,Mskpuh,940,940,This is narrative 49,2025,9,4,"M118784,-551738,",6789.0,510.0,558514.56,6178270.895,11.8784,55.1738,6789
50,10-12-2025,Pskduh,876,876,This is narrative 50,2025,8,4,"M117555,-552164,",1204.0,561.0,487114.288,6174995.451,11.7555,55.2164,1204
